time,open,high,low,close,Equity,Exposure
2020-05-13T02:00:00+08:00,8879,8925.98,8765,8815.27,9348.513927,0.01
2020-05-13T05:00:00+08:00,8815.02,8851.92,8730.06,8810.79,9348.465319,0.01
2020-05-13T08:00:00+08:00,8810.99,8972.46,8792.99,8936.5,9349.829273,0.01
2020-05-13T11:00:00+08:00,8936.5,8946.52,8867.63,8883.29,9349.251944,0.01
2020-05-13T14:00:00+08:00,8883.29,8920,8826.72,8908.18,9349.522001,0.01
2020-05-13T17:00:00+08:00,8908.86,9048.62,8891.27,9035.98,9350.908631,0.01
2020-05-13T20:00:00+08:00,9036.38,9135,8982.75,9082.26,9351.410769,0.01
2020-05-13T23:00:00+08:00,9082.25,9188,9036.2,9085.27,9351.443427,0.01
2020-05-14T02:00:00+08:00,9085.28,9330,9069.29,9285.92,9353.62048,0.01
2020-05-14T05:00:00+08:00,9285,9398,9252,9309.37,9353.874912,0.01
2020-05-14T08:00:00+08:00,9309.35,9386.62,9256.76,9334.01,9354.142256,0.01
2020-05-14T11:00:00+08:00,9335.24,9447,9267,9437.77,9355.268052,1
2020-05-14T14:00:00+08:00,9438.76,9648.29,9403.35,9610,9357.136748,1
2020-05-14T17:00:00+08:00,9610.01,9939,9516,9686.71,9431.818112,1
2020-05-14T20:00:00+08:00,9686.71,9759.99,9541.01,9704,9448.653039,1
2020-05-14T23:00:00+08:00,9704,9783.01,9569.47,9621.81,9368.62628,1
2020-05-15T02:00:00+08:00,9621.93,9874.3,9586,9655.88,9401.799558,1
2020-05-15T05:00:00+08:00,9656.34,9850.32,9612.2,9791.98,9534.317406,1.2
2020-05-15T08:00:00+08:00,9791.97,9845.62,9256.12,9490.21,9240.489992,1.2
2020-05-15T11:00:00+08:00,9490.1,9563.02,9370.38,9505.34,9258.189608,1.2
2020-05-15T14:00:00+08:00,9505.34,9729.81,9496.93,9616,9387.486965,1.2
2020-05-15T17:00:00+08:00,9616,9656.25,9480,9592.38,9359.888885,1.2
2020-05-15T20:00:00+08:00,9593.53,9616.65,9490,9568.02,9331.426174,1.2
2020-05-15T23:00:00+08:00,9568.17,9570.81,9413.93,9478.08,9226.338479,1.2
2020-05-16T02:00:00+08:00,9478.01,9534.78,9150,9250.25,8960.13735,1.2
2020-05-16T05:00:00+08:00,9250.29,9487.58,9211.1,9316.42,9037.451702,1.2
2020-05-16T08:00:00+08:00,9315.96,9458.16,9220,9432.29,9172.836527,1.2
2020-05-16T11:00:00+08:00,9432.3,9588,9390.3,9459.32,9204.41892,1.2
2020-05-16T14:00:00+08:00,9459.32,9510,9351.25,9423.39,9162.437589,1.2
2020-05-16T17:00:00+08:00,9423.3,9458,9315,9414.53,9152.085388,1.2
2020-05-16T20:00:00+08:00,9414.54,9534.85,9400,9432.31,9172.859895,1.2
2020-05-16T23:00:00+08:00,9432.31,9440,9291,9322.26,9044.275274,1.2
2020-05-17T02:00:00+08:00,9321.8,9392.78,9262,9383,9115.245105,1.2
2020-05-17T05:00:00+08:00,9382.72,9442.98,9354,9381.27,9113.223739,1.2
