time,open,high,low,close,1 Long Short,1 Long Short Exposure,1.2 Long Short,1.2 Long Short Exposure,1 Old long,1 Old long Exposure,1.2 Old long,1.2 Old long Exposure,1 New long,1 New long Exposure,1.2 New long,1.2 New long Exposure
2020-05-05T08:00:00+08:00,8871.92,8928.35,8822,8853.75,9805.222035,-1,9805.222035,-1,10018.72439,0.1,10018.72439,0.1,10001.87163,0.01,10001.87163,0.01
2020-05-05T11:00:00+08:00,8853.75,9118.58,8815,9006.45,9629.529996,-1,9629.529996,-1,10036.29252,0.1,10036.29252,0.1,10003.62768,0.01,10003.62768,0.01
2020-05-05T14:00:00+08:00,9007.26,9068.95,8958,9032.57,9620.802394,-1,9620.802394,-1,10039.29763,0.1,10039.29763,0.1,10003.92806,0.01,10003.92806,0.01
2020-05-05T17:00:00+08:00,9031.57,9085,8760,8844.73,9620.802394,-1,9620.802394,-1,10017.68664,0.1,10017.68664,0.1,10001.7679,0.01,10001.7679,0.01
2020-05-05T20:00:00+08:00,8845.64,8950,8806.12,8880.81,9620.802394,-1,9620.802394,-1,10021.83764,0.1,10021.83764,0.1,10002.18282,0.01,10002.18282,0.01
2020-05-05T23:00:00+08:00,8880.5,8933,8818.41,8869.44,9620.802394,-1,9620.802394,-1,10020.52952,0.1,10020.52952,0.1,10002.05206,0.01,10002.05206,0.01
2020-05-06T02:00:00+08:00,8869.79,8964.16,8851.57,8938.05,9620.802394,-1,9620.802394,-1,10028.4231,0.1,10028.4231,0.1,10002.84108,0.01,10002.84108,0.01
2020-05-06T05:00:00+08:00,8938.04,9044,8887,9021.83,9620.802394,-1,9620.802394,-1,10038.06199,0.1,10038.06199,0.1,10003.80455,0.01,10003.80455,0.01
2020-05-06T08:00:00+08:00,9021.36,9038,8906.21,8971.07,9620.802394,-1,9620.802394,-1,10032.22205,0.1,10032.22205,0.1,10003.22081,0.01,10003.22081,0.01
2020-05-06T11:00:00+08:00,8971.11,9069,8951.65,9007.92,9620.802394,-1,9620.802394,-1,10036.46165,0.1,10036.46165,0.1,10003.64458,0.01,10003.64458,0.01
2020-05-06T14:00:00+08:00,9007.82,9097.98,8992.32,9040.72,9620.802394,-1,9620.802394,-1,10040.23529,0.1,10040.23529,0.1,10004.02178,0.01,10004.02178,0.01
2020-05-06T17:00:00+08:00,9040.72,9349,9035,9313,9620.802394,1,9620.802394,1,10071.5611,0.9,10071.5611,0.9,10007.153,1,10007.153,1
2020-05-06T20:00:00+08:00,9313.96,9380,9125,9230,9620.802394,1,9620.802394,1,10062.01195,0.9,10062.01195,0.9,10006.1985,1,10006.1985,1
2020-05-06T23:00:00+08:00,9229.76,9315.23,9212,9265.77,9651.100784,1,9651.100784,1,10097.31447,0.9,10097.31447,0.9,10045.23382,1,10045.23382,1
2020-05-07T02:00:00+08:00,9265.67,9284.86,9190.51,9236.23,9620.31006,1,9620.31006,1,10068.33218,0.9,10068.33218,0.9,10013.2098,1,10013.2098,1
2020-05-07T05:00:00+08:00,9236.23,9395,9079,9142.92,9523.049315,1,9523.049315,1,9976.783877,0.9,9976.783877,0.9,9912.053364,1,9912.053364,1
2020-05-07T08:00:00+08:00,9143.4,9374.93,9021,9330.88,9718.967541,1,9718.967541,1,10161.19519,0.9,10161.19519,0.9,10115.81892,1,10115.81892,1
2020-05-07T11:00:00+08:00,9331.78,9350,9230.9,9269,9654.467542,1,9654.467542,1,10100.48349,0.9,10100.48349,0.9,10048.73543,1,10048.73543,1
2020-05-07T14:00:00+08:00,9268.47,9340,9235.62,9338.84,9727.264567,1,9727.264567,1,10169.00491,0.9,10169.00491,0.9,10124.44828,1,10124.44828,1
2020-05-07T17:00:00+08:00,9338.81,9338.81,9247.1,9280.01,9665.943705,1,9665.943705,1,10111.28562,0.9,10111.28562,0.9,10060.67126,1,10060.67126,1
2020-05-07T20:00:00+08:00,9280.05,9590,9262,9496.49,9891.589468,1,9891.589468,1,10323.67848,0.9,10323.67848,0.9,10295.35507,1,10295.35507,1
2020-05-07T23:00:00+08:00,9496.45,9887,9350,9832.08,10241.38835,1,10241.38835,1,10652.93254,0.9,10652.93254,0.9,10659.16483,1,10659.16483,1
2020-05-08T02:00:00+08:00,9832.08,9950,9721.01,9797.34,10205.17746,1,10205.17746,1,10618.84843,0.9,10618.84843,0.9,10621.50354,1,10621.50354,1
2020-05-08T05:00:00+08:00,9795.74,10067,9750.1,9986.4,10402.24226,1,10402.24226,1,10804.33897,0.9,10804.33897,0.9,10826.4616,1,10826.4616,1
